"","Year","County_FIPS","County","State","EPL_AGE65","EPL_POV","EPL_MINRTY","EPL_NOHSDP","EPL_UNEMP","Diabetes_pct"
"1","2018","01001","Autauga County","Alabama",0.185,0.5401,0.6336,0.4397,0.2745,0.7074
"2","2018","01003","Baldwin County","Alabama",0.6428,0.2239,0.5158,0.3209,0.3121,0.4925
"3","2018","01005","Barbour County","Alabama",0.4893,0.9631,0.8965,0.9701,0.9217,0.9799
"4","2018","01007","Bibb County","Alabama",0.32,0.443,0.639,0.7351,0.7895,0.8023
"5","2018","01009","Blount County","Alabama",0.4715,0.4723,0.4206,0.8405,0.2611,0.8354
"6","2018","01011","Bullock County","Alabama",0.2572,0.9777,0.9809,0.9491,0.9599,0.6918
"7","2018","01013","Butler County","Alabama",0.5928,0.886,0.8711,0.6753,0.6968,0.8717
"8","2018","01015","Calhoun County","Alabama",0.3664,0.7322,0.6616,0.6988,0.885,0.9704
"9","2018","01017","Chambers County","Alabama",0.5817,0.6258,0.8437,0.7966,0.4166,0.9427
"10","2018","01019","Cherokee County","Alabama",0.8055,0.5127,0.2843,0.8405,0.5172,0.8354
"11","2018","01021","Chilton County","Alabama",0.2748,0.7322,0.5619,0.7692,0.7481,0.9952
"12","2018","01023","Choctaw County","Alabama",0.8249,0.8567,0.8357,0.7966,0.9516,0.8777
"13","2018","01025","Clarke County","Alabama",0.5928,0.9258,0.8644,0.8039,0.9831,0.9943
"14","2018","01027","Clay County","Alabama",0.6679,0.7236,0.5594,0.9443,0.6545,0.5425
"15","2018","01029","Cleburne County","Alabama",0.5718,0.7271,0.2518,0.915,0.7895,0.4696
"16","2018","01031","Coffee County","Alabama",0.32,0.5229,0.6883,0.5922,0.5669,0.986
"17","2018","01033","Colbert County","Alabama",0.6234,0.6032,0.5817,0.6855,0.5669,0.9516
"18","2018","01035","Conecuh County","Alabama",0.8004,0.8567,0.8787,0.8211,0.9637,0.8914
"19","2018","01037","Coosa County","Alabama",0.8093,0.443,0.7415,0.8612,0.5481,0.7074
"20","2018","01039","Covington County","Alabama",0.7249,0.7178,0.5084,0.7459,0.8803,0.9379
"21","2018","01041","Crenshaw County","Alabama",0.5215,0.5602,0.6816,0.8924,0.5481,0.8564
"22","2018","01043","Cullman County","Alabama",0.4893,0.5675,0.2716,0.7829,0.5006,0.8777
"23","2018","01045","Dale County","Alabama",0.2983,0.7236,0.7017,0.6129,0.885,0.9258
"24","2018","01047","Dallas County","Alabama",0.3664,0.9761,0.9717,0.8255,0.9672,0.9876
"25","2018","01049","Dekalb County","Alabama",0.32,0.8541,0.5536,0.9608,0.3299,0.8835
"26","2018","01051","Elmore County","Alabama",0.1786,0.3309,0.6536,0.5829,0.6207,0.9456
"27","2018","01053","Escambia County","Alabama",0.419,0.8984,0.7994,0.7924,0.9787,0.9799
"28","2018","01055","Etowah County","Alabama",0.5215,0.6707,0.5899,0.6804,0.6697,0.986
"29","2018","01057","Fayette County","Alabama",0.7249,0.7889,0.4785,0.7622,0.7347,0.6918
